paper_title,paper_arxiv_id,paper_url_pdf,paper_url_abs,DOI,repo_url,mentioned_in_paper,ID_in_repo,Title_in_repo,ID_is_Bidirectional,BiDirectional,Observations,Reviewed By
Quantum Ground States from Reinforcement Learning,2006.09044,http://arxiv.org/pdf/2006.09044v1.pdf,http://arxiv.org/abs/2006.09044v1,,https://github.com/AustenLamacraft/QuaRL,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
Long Context Question Answering via Supervised Contrastive Learning,2112.08777,https://arxiv.org/pdf/2112.08777v2.pdf,https://arxiv.org/abs/2112.08777v2,10.18653/v1/2022.naacl-main.207,https://github.com/aviclu/seq-contrast-qa,TRUE,TRUE,TRUE,TRUE,TRUE,DEAD URL,"Adrian, Arroyo"
Coloring with Words: Guiding Image Colorization Through Text-based Palette Generation,1804.04128,http://arxiv.org/pdf/1804.04128v2.pdf,http://arxiv.org/abs/1804.04128v2,,https://github.com/awesome-davian/Text2Colors,TRUE,TRUE,TRUE,TRUE,TRUE,within footnote. Also the link has a / at the end that might cause some confusion,"Adrian, Arroyo"
Deep water wave cloaking using a multi-layered buoyant plate,2204.03792,https://arxiv.org/pdf/2204.03792v1.pdf,https://arxiv.org/abs/2204.03792v1,,https://github.com/azareei/DeepCloaking,FALSE,TRUE,TRUE,FALSE,FALSE,,"Adrian, Arroyo"
A benchmark of data stream classification for human activity recognition on connected objects,2008.11880,https://arxiv.org/pdf/2008.11880v1.pdf,https://arxiv.org/abs/2008.11880v1,,https://github.com/azazel7/paper-benchmark,TRUE,TRUE,FALSE,TRUE,TRUE,,"Adrian, Arroyo"
Non-Autoregressive Translation by Learning Target Categorical Codes,2103.11405,https://arxiv.org/pdf/2103.11405v1.pdf,https://arxiv.org/abs/2103.11405v1,10.18653/v1/2021.naacl-main.458,https://github.com/baoy-nlp/CNAT,FALSE,TRUE,TRUE,FALSE,FALSE,,"Adrian, Arroyo"
SVC-onGoing: Signature Verification Competition,2108.06090,https://arxiv.org/pdf/2108.06090v2.pdf,https://arxiv.org/abs/2108.06090v2,,https://github.com/BiDAlab/SVC2021_EvalDB,TRUE,FALSE,TRUE,FALSE,TRUE,has multiple links but one of them has a github that points to it,"Adrian, Arroyo"
Webly Supervised Image Classification with Self-Contained Confidence,2008.11894,https://arxiv.org/pdf/2008.11894v1.pdf,https://arxiv.org/abs/2008.11894v1,,https://github.com/bigvideoresearch/SCC,TRUE,TRUE,TRUE,TRUE,TRUE,Many urls https://github.com/bigvideoresearch/Enigma,"Adrian, Arroyo"
Do cosmological data rule out $f(\mathcal{R})$ with $w\neq-1$?,1712.05976,http://arxiv.org/pdf/1712.05976v2.pdf,http://arxiv.org/abs/1712.05976v2,,https://github.com/borisbolliet/class_eos_fr_public,TRUE,TRUE,TRUE,TRUE,TRUE,Very difficult title,"Adrian, Arroyo"
Bootstrapping the Relationship Between Images and Their Clean and Noisy Labels,2210.08826,https://arxiv.org/pdf/2210.08826v1.pdf,https://arxiv.org/abs/2210.08826v1,10.1109/wacv56688.2023.00531,https://github.com/btsmart/bootstrapping-label-noise,TRUE,FALSE,TRUE,FALSE,TRUE,only mentions title so SOMEF might not extract,"Adrian, Arroyo"
Improved Feature Distillation via Projector Ensemble,2210.15274,https://arxiv.org/pdf/2210.15274v1.pdf,https://arxiv.org/abs/2210.15274v1,,https://github.com/chenyd7/pefd,TRUE,FALSE,TRUE,FALSE,TRUE,its in citation format but without using ``` so not in markdown,"Adrian, Arroyo"
Evaluating Dialogue Generation Systems via Response Selection,2004.14302,https://arxiv.org/pdf/2004.14302v1.pdf,https://arxiv.org/abs/2004.14302v1,10.18653/v1/2020.acl-main.55,https://github.com/cl-tohoku/eval-via-selection,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Accelerated Neural Networks on OpenCL Devices Using SYCL-DNN,1904.04174,http://arxiv.org/pdf/1904.04174v1.pdf,http://arxiv.org/abs/1904.04174v1,10.1145/3318170.3318183,https://github.com/CodeplaySoftware/SYCL-DNN,TRUE,TRUE,FALSE,TRUE,TRUE,BIBTEX HAS DOI URL,"Adrian, Arroyo"
Parabolic Approximation Line Search for DNNs,1903.11991,https://arxiv.org/pdf/1903.11991v5.pdf,https://arxiv.org/abs/1903.11991v5,,https://github.com/cogsys-tuebingen/PAL,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Contrastive Learning with Continuous Proxy Meta-Data for 3D MRI Classification,2106.08808,https://arxiv.org/pdf/2106.08808v1.pdf,https://arxiv.org/abs/2106.08808v1,,https://github.com/Duplums/yAwareContrastiveLearning,TRUE,FALSE,FALSE,FALSE,FALSE,Link not DOI,"Adrian, Arroyo"
"Bayesian active learning for production, a systematic study and a reusable library",2006.09916,https://arxiv.org/pdf/2006.09916v1.pdf,https://arxiv.org/abs/2006.09916v1,,https://github.com/ElementAI/baal,TRUE,TRUE,TRUE,TRUE,TRUE,url in paper is different to the github url same repo,"Adrian, Arroyo"
A Design of Low-Projection SCMA Codebooks for Ultra-Low Decoding Complexity in Downlink IoT Networks,2208.03118,https://arxiv.org/pdf/2208.03118v2.pdf,https://arxiv.org/abs/2208.03118v2,10.1109/twc.2023.3244868,https://github.com/ethanlq/scma-codebook,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
VoiceLoop: Voice Fitting and Synthesis via a Phonological Loop,1707.06588,http://arxiv.org/pdf/1707.06588v3.pdf,http://arxiv.org/abs/1707.06588v3,,https://github.com/facebookresearch/loop,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Top-down Discourse Parsing via Sequence Labelling,2102.02080,https://arxiv.org/pdf/2102.02080v2.pdf,https://arxiv.org/abs/2102.02080v2,10.18653/v1/2021.eacl-main.60,https://github.com/fajri91/NeuralRST-TopDown,TRUE,FALSE,TRUE,FALSE,TRUE,Different link ACL,"Adrian, Arroyo"
Algorithms to compute the Burrows-Wheeler Similarity Distribution,1903.10583,http://arxiv.org/pdf/1903.10583v1.pdf,http://arxiv.org/abs/1903.10583v1,10.1016/j.tcs.2019.03.012,https://github.com/felipelouza/bwsd,TRUE,TRUE,TRUE,TRUE,TRUE,REFERENCE BUT NO DOI OR ARXIV,"Adrian, Arroyo"
Reservoir computing approaches for representation and classification of multivariate time series,1803.07870,https://arxiv.org/pdf/1803.07870v3.pdf,https://arxiv.org/abs/1803.07870v3,,https://github.com/FilippoMB/Reservoir-model-space-classifier,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Deep Reinforcement Learning for Turbulence Modeling in Large Eddy Simulations,2206.11038,https://arxiv.org/pdf/2206.11038v2.pdf,https://arxiv.org/abs/2206.11038v2,,https://github.com/flexi-framework/relexi,TRUE,TRUE,TRUE,TRUE,TRUE,only mentioned as text may cause problems when extracting with SOMEF,"Adrian, Arroyo"
GERNERMED++: Transfer Learning in German Medical NLP,2206.14504,https://arxiv.org/pdf/2206.14504v2.pdf,https://arxiv.org/abs/2206.14504v2,,https://github.com/frankkramer-lab/gernermed-pp,TRUE,TRUE,TRUE,TRUE,TRUE,**** Issue with doi not appearing in the arxiv but existing,"Adrian, Arroyo"
GraphFPN: Graph Feature Pyramid Network for Object Detection,2108.00580,https://arxiv.org/pdf/2108.00580v3.pdf,https://arxiv.org/abs/2108.00580v3,10.1109/iccv48922.2021.00276,https://github.com/GangmingZhao/GraphFPN-Graph-Feature-Pyramid-Network-for-Object-Detection,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Deformation Spaces and Static Animations,2211.08333,https://arxiv.org/pdf/2211.08333v1.pdf,https://arxiv.org/abs/2211.08333v1,,https://github.com/gdorfsmanhopkins/staticanimations,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
Zero-shot Natural Language Video Localization,2110.00428,https://arxiv.org/pdf/2110.00428v1.pdf,https://arxiv.org/abs/2110.00428v1,10.1109/iccv48922.2021.00150,https://github.com/gistvision/psvl,TRUE,FALSE,TRUE,FALSE,TRUE,"NO DOI/ARXIV, but has url AND bibtex","Adrian, Arroyo"
Decoupled Weight Decay Regularization,1711.05101,http://arxiv.org/pdf/1711.05101v3.pdf,http://arxiv.org/abs/1711.05101v3,,https://github.com/GLambard/AdamW_Keras,TRUE,TRUE,FALSE,TRUE,TRUE,******,"Adrian, Arroyo"
RowHammer and Beyond,1903.11056,http://arxiv.org/pdf/1903.11056v1.pdf,http://arxiv.org/abs/1903.11056v1,10.1007/978-3-030-16350-1_1,https://github.com/google/rowhammer-test,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Deep Photometric Stereo for Non-Lambertian Surfaces,2007.13145,https://arxiv.org/pdf/2007.13145v1.pdf,https://arxiv.org/abs/2007.13145v1,10.1109/tpami.2020.3005397,https://github.com/guanyingc/PS-FCN,FALSE,FALSE,FALSE,FALSE,FALSE,"has bibtex, but links their github.io webpage","Adrian, Arroyo"
Perspectives and solutions towards intelligent ambient assisted living systems,2102.13173,https://arxiv.org/pdf/2102.13173v2.pdf,https://arxiv.org/abs/2102.13173v2,,https://github.com/hongsun502/AALDemo,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
Distilled Neural Networks for Efficient Learning to Rank,2202.10728,https://arxiv.org/pdf/2202.10728v1.pdf,https://arxiv.org/abs/2202.10728v1,10.1109/tkde.2022.3152585,https://github.com/hpclab/efficient_nn_for_ltr,TRUE,FALSE,TRUE,FALSE,TRUE,different link,"Adrian, Arroyo"
Exoplanet Transmission Spectroscopy using KMOS,1508.02911,http://arxiv.org/pdf/1508.02911v1.pdf,http://arxiv.org/abs/1508.02911v1,,,TRUE,FALSE,TRUE,FALSE,FALSE,"The title of the paper appears but there is a preferred citation to another paper. Title mentioned in ""publications"" not as a paper that is relevant to the software. has DOI but its not a url and bibtex","Adrian, Arroyo,Daniel"
PyTransit: Fast and Easy Exoplanet Transit Modelling in Python,1504.07433,http://arxiv.org/pdf/1504.07433v1.pdf,http://arxiv.org/abs/1504.07433v1,https://doi.org/10.1093/mnras/stv894,https://github.com/hpparvi/PyTransit,TRUE,TRUE,TRUE,TRUE,TRUE,Only available in pdf,"Arroyo,Daniel"
Improving Generalization and Stability of Generative Adversarial Networks,1902.03984,http://arxiv.org/pdf/1902.03984v1.pdf,http://arxiv.org/abs/1902.03984v1,,https://github.com/htt210/GeneralizationAndStabilityInGANs,TRUE,FALSE,TRUE,FALSE,TRUE,BIBTEX and the bibtex does not have a arxiv or doi,"Adrian, Arroyo"
Combining Humor and Sarcasm for Improving Political Parody Detection,2205.03313,https://arxiv.org/pdf/2205.03313v1.pdf,https://arxiv.org/abs/2205.03313v1,10.18653/v1/2022.naacl-main.131,https://github.com/iamoscar1/multi_encoder_model_for_political_parody_prediction,TRUE,FALSE,TRUE,FALSE,TRUE,Mentioned in text,"Adrian, Arroyo"
Data-Driven Occupancy Grid Mapping using Synthetic and Real-World Data,2211.08278,https://arxiv.org/pdf/2211.08278v1.pdf,https://arxiv.org/abs/2211.08278v1,10.1109/iceccme55909.2022.9988605,https://github.com/ika-rwth-aachen/devilog,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Efficient Deep Gaussian Process Models for Variable-Sized Inputs,1905.06982,https://arxiv.org/pdf/1905.06982v1.pdf,https://arxiv.org/abs/1905.06982v1,,https://github.com/IssamLaradji/GP_DRF,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Characterizing SLAM Benchmarks and Methods for the Robust Perception Age,1905.07808,https://arxiv.org/pdf/1905.07808v1.pdf,https://arxiv.org/abs/1905.07808v1,,https://github.com/ivalab/Benchmarking_SLAM,TRUE,FALSE,TRUE,FALSE,TRUE,has bibtex though does not have url,"Adrian, Arroyo"
A Review of Anonymization for Healthcare Data,2104.06523,https://arxiv.org/pdf/2104.06523v1.pdf,https://arxiv.org/abs/2104.06523v1,10.1089/big.2021.0169,https://github.com/iyempissy/anonymization-reconstruction-attack,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Unsupervised Learning for Lexicon-Based Classification,1611.06933,http://arxiv.org/pdf/1611.06933v1.pdf,http://arxiv.org/abs/1611.06933v1,10.1609/aaai.v31i1.10965,https://github.com/jacobeisenstein/probabilistic-lexicon-classification,TRUE,FALSE,TRUE,FALSE,TRUE,"Paper has link, Github README.md title is the title of the paper","Adrian, Arroyo"
What is the State of Neural Network Pruning?,2003.03033,https://arxiv.org/pdf/2003.03033v1.pdf,https://arxiv.org/abs/2003.03033v1,,https://github.com/jjgo/shrinkbench,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Optimal regularized inverse matrices for inverse problems,1603.05867,http://arxiv.org/pdf/1603.05867v1.pdf,http://arxiv.org/abs/1603.05867v1,,https://github.com/juliannechung/ORIM,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
BatchLayout: A Batch-Parallel Force-Directed Graph Layout Algorithm in Shared Memory,2002.08233,http://arxiv.org/pdf/2002.08233v1.pdf,http://arxiv.org/abs/2002.08233v1,10.1109/pacificvis48177.2020.3756,https://github.com/khaled-rahman/BatchLayout,TRUE,FALSE,TRUE,FALSE,TRUE,"Has bibtex, no url","Adrian, Arroyo"
nnAudio: An on-the-fly GPU Audio to Spectrogram Conversion Toolbox Using 1D Convolutional Neural Networks,1912.12055,https://arxiv.org/pdf/1912.12055v3.pdf,https://arxiv.org/abs/1912.12055v3,10.1109/ACCESS.2020.3019084,https://github.com/KinWaiCheuk/nnAudio,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Fast Conditional Independence Test for Vector Variables with Large Sample Sizes,1804.02747,http://arxiv.org/pdf/1804.02747v1.pdf,http://arxiv.org/abs/1804.02747v1,,https://github.com/kjchalup/fcit,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Rogue-Gym: A New Challenge for Generalization in Reinforcement Learning,1904.08129,https://arxiv.org/pdf/1904.08129v2.pdf,https://arxiv.org/abs/1904.08129v2,10.1109/cig.2019.8848075,https://github.com/kngwyu/rogue-gym-agents-cog19,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Mastering Rate based Curriculum Learning,2008.06456,https://arxiv.org/pdf/2008.06456v1.pdf,https://arxiv.org/abs/2008.06456v1,,https://github.com/lcswillems/automatic-curriculum,TRUE,FALSE,TRUE,FALSE,TRUE,mentioned as text,"Adrian, Arroyo"
MultiDepth: Single-Image Depth Estimation via Multi-Task Regression and Classification,1907.11111,https://arxiv.org/pdf/1907.11111v1.pdf,https://arxiv.org/abs/1907.11111v1,10.1109/itsc.2019.8917177,https://github.com/lukasliebel/MultiDepth,TRUE,TRUE,TRUE,TRUE,TRUE,in about. citation with {},"Adrian, Arroyo"
A step towards neural genome assembly,2011.05013,https://arxiv.org/pdf/2011.05013v1.pdf,https://arxiv.org/abs/2011.05013v1,,https://github.com/lvrcek/NeuralLayout,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Designing Neural Speaker Embeddings with Meta Learning,2007.16196,https://arxiv.org/pdf/2007.16196v1.pdf,https://arxiv.org/abs/2007.16196v1,,https://github.com/manojpamk/pytorch_xvectors,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Detecting Model Misspecification in Amortized Bayesian Inference with Neural Networks,2112.08866,https://arxiv.org/pdf/2112.08866v5.pdf,https://arxiv.org/abs/2112.08866v5,,https://github.com/marvinschmitt/ModelMisspecificationBF,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Association of genomic subtypes of lower-grade gliomas with shape features automatically extracted by a deep learning algorithm,1906.03720,https://arxiv.org/pdf/1906.03720v1.pdf,https://arxiv.org/abs/1906.03720v1,10.1016/j.compbiomed.2019.05.002,https://github.com/mateuszbuda/brain-segmentation,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Measure Estimation in the Barycentric Coding Model,2201.12195,https://arxiv.org/pdf/2201.12195v2.pdf,https://arxiv.org/abs/2201.12195v2,,https://github.com/mattwerenski/bcm,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Identifying and Analyzing Cryptocurrency Manipulations in Social Media,1902.03110,https://arxiv.org/pdf/1902.03110v2.pdf,https://arxiv.org/abs/1902.03110v2,10.31219/osf.io/dqz89,https://github.com/Mehrnoom/Cryptocurrency-Pump-Dump,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Estimating Heterogeneous Causal Effects of High-Dimensional Treatments: Application to Conjoint Analysis,2201.01357,https://arxiv.org/pdf/2201.01357v2.pdf,https://arxiv.org/abs/2201.01357v2,,https://github.com/mgoplerud/factorhet,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Fast analytical calculation of the random pair counts for realistic survey geometry,2010.02793,https://arxiv.org/pdf/2010.02793v2.pdf,https://arxiv.org/abs/2010.02793v2,10.1051/0004-6361/2020.39603,https://github.com/mianbreton/RR_code,TRUE,TRUE,FALSE,TRUE,TRUE,Arxiv as number not url. Screwed up readme file,"Adrian, Arroyo"
Modern Hopfield Networks and Attention for Immune Repertoire Classification,2007.13505,https://arxiv.org/pdf/2007.13505v1.pdf,https://arxiv.org/abs/2007.13505v1,10.1101/2020.04.12.038158,https://github.com/ml-jku/DeepRC,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
"Recall, Expand and Multi-Candidate Cross-Encode: Fast and Accurate Ultra-Fine Entity Typing",2212.09125,https://arxiv.org/pdf/2212.09125v1.pdf,https://arxiv.org/abs/2212.09125v1,,https://github.com/modelscope/adaseq,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Temporal 3D ConvNets: New Architecture and Transfer Learning for Video Classification,1711.08200,http://arxiv.org/pdf/1711.08200v1.pdf,http://arxiv.org/abs/1711.08200v1,,https://github.com/MohsenFayyaz89/T3D,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Accelerating Fully Homomorphic Encryption by Bridging Modular and Bit-Level Arithmetic,2204.12201,https://arxiv.org/pdf/2204.12201v3.pdf,https://arxiv.org/abs/2204.12201v3,10.1145/3508352.3549415,https://github.com/momalab/e3,TRUE,TRUE,TRUE,TRUE,TRUE,cites another paper which isnt the one given,"Adrian, Arroyo"
Multilevel Clustering via Wasserstein Means,1706.03883,http://arxiv.org/pdf/1706.03883v1.pdf,http://arxiv.org/abs/1706.03883v1,,https://github.com/moonfolk/Multilevel-Wasserstein-Means,TRUE,FALSE,TRUE,FALSE,TRUE,Mentioned as Text,"Adrian, Arroyo"
Label Propagation Through Optimal Transport,2110.01446,https://arxiv.org/pdf/2110.01446v1.pdf,https://arxiv.org/abs/2110.01446v1,10.1109/ijcnn52387.2021.9533521,https://github.com/MouradElHamri/OTP,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
The Geography of Open Source Software: Evidence from GitHub,2107.03200,https://arxiv.org/pdf/2107.03200v2.pdf,https://arxiv.org/abs/2107.03200v2,10.1016/j.techfore.2022.121478,https://github.com/n1tecki/Geography-of-Open-Source-Software,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
Domain Knowledge Driven 3D Dose Prediction Using Moment-Based Loss Function,2207.03414,https://arxiv.org/pdf/2207.03414v2.pdf,https://arxiv.org/abs/2207.03414v2,,https://github.com/nadeemlab/dosertx,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
State-Augmented Learnable Algorithms for Resource Management in Wireless Networks,2207.02242,https://arxiv.org/pdf/2207.02242v2.pdf,https://arxiv.org/abs/2207.02242v2,10.1109/tsp.2022.3229948,https://github.com/navid-naderi/stateaugmented_rrm_gnn,TRUE,FALSE,TRUE,FALSE,TRUE,url is not of DOI or arxiv but is IEEE,"Adrian, Arroyo"
Preventing dataset shift from breaking machine-learning biomarkers,2107.09947,https://arxiv.org/pdf/2107.09947v1.pdf,https://arxiv.org/abs/2107.09947v1,10.1093/gigascience/giab055,https://github.com/neurodatascience/dataset_shift_biomarkers,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
AirObject: A Temporally Evolving Graph Embedding for Object Identification,2111.15150,https://arxiv.org/pdf/2111.15150v2.pdf,https://arxiv.org/abs/2111.15150v2,10.1109/cvpr52688.2022.00822,https://github.com/nik-v9/airobject,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
New Techniques for Preserving Global Structure and Denoising with Low Information Loss in Single-Image Super-Resolution,1805.03383,http://arxiv.org/pdf/1805.03383v2.pdf,http://arxiv.org/abs/1805.03383v2,10.1109/cvprw.2018.00132,https://github.com/nikhilvravi/DukeSR,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Learning N:M Fine-grained Structured Sparse Neural Networks From Scratch,2102.04010,https://arxiv.org/pdf/2102.04010v2.pdf,https://arxiv.org/abs/2102.04010v2,,https://github.com/NM-sparsity/NM-sparsity,TRUE,TRUE,TRUE,TRUE,TRUE,only links,"Adrian, Arroyo"
On Sampling Collaborative Filtering Datasets,2201.04768,https://arxiv.org/pdf/2201.04768v1.pdf,https://arxiv.org/abs/2201.04768v1,10.1145/3488560.3498439,https://github.com/noveens/sampling_cf,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Efficient Classification with Counterfactual Reasoning and Active Learning,2207.12086,https://arxiv.org/pdf/2207.12086v1.pdf,https://arxiv.org/abs/2207.12086v1,,https://github.com/nphdang/ccral,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Learning Curves for SGD on Structured Features,2106.02713,https://arxiv.org/pdf/2106.02713v5.pdf,https://arxiv.org/abs/2106.02713v5,,https://github.com/Pehlevan-Group/sgd_structured_features,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Connecting a French Dictionary from the Beginning of the 20th Century to Wikidata,2206.11022,https://arxiv.org/pdf/2206.11022v3.pdf,https://arxiv.org/abs/2206.11022v3,,https://github.com/pnugues/petit_larousse_1905,TRUE,FALSE,TRUE,FALSE,TRUE,"Readme in french, bibtex but no doi or arxiv","Adrian, Arroyo"
Prediction of the Position of External Markers Using a Recurrent Neural Network Trained With Unbiased Online Recurrent Optimization for Safe Lung Cancer Radiotherapy,2106.01100,https://arxiv.org/pdf/2106.01100v6.pdf,https://arxiv.org/abs/2106.01100v6,,https://github.com/pohl-michel/time-series-forecasting-with-UORO-RTRL-LMS-and-linear-regression,FALSE,TRUE,TRUE,FALSE,FALSE,,"Adrian, Arroyo"
"Semi-Discrete Optimal Transport: Hardness, Regularization and Numerical Solution",2103.06263,https://arxiv.org/pdf/2103.06263v2.pdf,https://arxiv.org/abs/2103.06263v2,,https://github.com/RAO-EPFL/Semi-Discrete-Smooth-OT,TRUE,FALSE,TRUE,FALSE,TRUE,,"Adrian, Arroyo"
Auto-active Verification of Floating-point Programs via Nonlinear Real Provers,2207.00921,https://arxiv.org/pdf/2207.00921v1.pdf,https://arxiv.org/abs/2207.00921v1,,https://github.com/rasheedja/propafp,TRUE,TRUE,FALSE,TRUE,TRUE,,"Adrian, Arroyo"
